Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Sam Darnold,NYJ,31.1,18.2,209,1,1.1,3.5,14.1,0.1,0.1,12
,high,33.6,20,226.7,1.2,0.9,6,20.3,0.1,0.1,15.2
,low,27,15,192,0.9,1.7,2.8,8.9,0,0.2,10.4
Garrett Gilbert,DAL,27.6,16.8,192,0.8,1,1.5,8.9,0.1,0.2,9.9
,high,36.2,22.1,251.2,1.2,0.5,2.6,24.8,0.2,0.1,15.5
,low,18.5,11.1,119.8,0.4,2,0.7,2.7,0,0.3,5.9
Ryan Fitzpatrick,MIA,20.6,12.9,105.1,0.6,0.4,2.2,8.4,0,0,6.6
,high,40,25,295,1.5,0,4.1,24,0.1,0,18.5
,low,1.2,0.8,8.4,0.1,1.2,0.3,0.1,0,0.1,0.8
Cooper Rush,DAL,18.8,11.5,125.8,0.4,0.5,1.4,4.2,0,0.1,6
,high,27.4,17.4,186.5,0.5,0.4,2.1,7.2,0.1,0.1,6.4
,low,10.6,5.9,71.4,0.3,0.6,0.6,1.8,0,0.2,3.4
Jarrett Stidham,NE,21.1,10.8,93.7,0.6,0.7,1.9,6.3,0,0.1,5.4
,high,36,16,194,1.9,0,3,18,0.1,0,13.5
,low,1.2,0.8,8.9,0,1.9,0.3,0,0,0.2,0.5
Brett Rypien,DEN,16.7,10.9,96.8,0.5,1.2,1.2,3.8,0,0.1,3.8
,high,40,27,311,1.8,0.1,2.1,13,0,0,12.8
,low,1.4,0.9,10.5,0,4.1,0.3,0,0,0.2,0.6
Joe Flacco,NYJ,15.8,10.2,75.7,0.2,0.3,0.8,2.9,0,0.1,3.4
,high,37,24,223,0.9,0.1,1.6,10,0,0,11.8
,low,1.3,0.8,8,0,0.8,0.2,0,0,0.2,0.2
Taysom Hill,NO,1,0.9,12.9,0,0.1,1.5,13.8,0.1,0,2.7
,high,1.1,1,26.4,0.1,0,2.9,32.2,0.6,0,3.5
,low,0.7,0.5,4.6,0,0.2,0.1,0.2,0,0,0.8
Chase Daniel,DET,13.1,7.7,56.8,0.1,0.3,1.3,2.4,0,0.1,2.4
,high,24.8,14.5,145.9,0.2,0,2.3,6.1,0,0,0.9
,low,1.4,0.9,10.4,0.1,0.7,0.2,0,0,0.2,0.7
Mike Glennon,JAC,12.6,7.4,54.2,0.1,0.2,1.2,2,0,0.1,2.2
,high,23.4,13.5,133.2,0.1,0,2.3,5.8,0,0,1
,low,1.8,1.2,12.7,0.1,0.7,0.1,0.1,0,0.2,0.9
Brett Hundley,ARI,1.6,0.9,11.1,0.1,0,0.3,1.6,0,0,1
,high,1.6,0.9,11.1,0.1,0,0.3,1.6,0,0,1
,low,1.6,0.9,11.1,0.1,0,0.3,1.6,0,0,1
Alex Smith,WAS,5.1,3,24.7,0.1,0.1,10.4,1,0,0.1,1
,high,8.9,5,43.3,0.1,0,20.5,2.1,0,0,1.2
,low,1.3,0.9,9.3,0,0.3,0.2,0,0,0.3,0.9
Jameis Winston,NO,1.8,1.2,11.8,0.1,0,0.2,0.9,0,0,1
,high,1.8,1.2,11.8,0.1,0,0.2,0.9,0,0,1
,low,1.8,1.2,11.8,0.1,0,0.2,0.9,0,0,1
Ben DiNucci,DAL,8.4,4.9,45.9,0,0.4,0.7,0.6,0,0.1,1
,high,8.4,4.9,45.9,0,0.4,0.7,0.6,0,0.1,0
,low,8.4,4.9,45.9,0,0.4,0.7,0.6,0,0.1,0
Marcus Mariota,LV,1.4,1,10.5,0.1,0,0.3,1.3,0,0,1
,high,1.4,1,10.5,0.1,0,0.3,1.3,0,0,1
,low,1.4,1,10.5,0.1,0,0.3,1.3,0,0,1
C.J. Beathard,SF,5.3,3.1,31.3,0.1,0.3,0.2,0.5,0,0.1,0.9
,high,9.4,5.5,61.2,0.2,0.1,0.3,1.5,0,0,1.3
,low,1.2,0.8,10.4,0.1,0.8,0,0,0,0.3,0.8
David Blough,DET,5.1,2.8,26.3,0.1,0.2,0.7,1.5,0,0.1,0.9
,high,8.8,4.7,42.1,0.1,0,1.2,2,0,0,0.9
,low,1.4,0.9,10.4,0,0.4,0.2,1,0,0.1,0.9
Chad Henne,KC,1.4,1,14.1,0.1,0,0.2,0.3,0,0,0.9
,high,1.4,1,18.4,0.1,0,0.2,0.3,0,0,1.1
,low,1.4,1,9.7,0.1,0.1,0.2,0.3,0,0,0.8
Matt Schaub,ATL,1.6,1.1,11.9,0.1,0,0.2,0.2,0,0,0.9
,high,1.6,1.1,11.9,0.1,0,0.2,0.2,0,0,0.9
,low,1.6,1.1,11.9,0.1,0,0.2,0.2,0,0,0.9
Tyrod Taylor,LAC,1.5,1,11.1,0.1,0,0.3,0.6,0,0,0.8
,high,1.5,1,13,0.1,0,0.3,1.1,0,0,1
,low,1.5,1,9.1,0,0,0.3,0,0,0,0.6
Mason Rudolph,PIT,1.5,1,11.7,0.1,0,0.2,0.6,0,0,0.8
,high,1.5,1,12.8,0.1,0,0.2,1.1,0,0,0.9
,low,1.5,1,10.6,0.1,0.1,0.2,0.1,0,0,0.7
AJ McCarron,HOU,1.4,1,12.2,0.1,0,0.1,0.2,0,0,0.7
,high,1.4,1,12.3,0.1,0,0.1,0.3,0,0,0.9
,low,1.4,1,12,0,0.1,0.1,0,0,0,0.6
Blaine Gabbert,TB,1.5,0.9,11.6,0.1,0.1,0.2,0.2,0,0,0.7
,high,1.5,0.9,12.6,0.1,0,0.2,0.4,0,0,0.9
,low,1.5,0.9,10.6,0,0.1,0.2,0,0,0,0.6
Geno Smith,SEA,1.1,0.6,6.1,0.1,0,0.2,0.3,0,0,0.7
,high,1.1,0.6,6.1,0.1,0,0.2,0.3,0,0,0.7
,low,1.1,0.6,6.1,0.1,0,0.2,0.3,0,0,0.7
Colt McCoy,NYG,1.4,0.9,11.7,0.1,0.1,0.1,0.4,0,0,0.6
,high,1.4,0.9,14,0.1,0,0.1,0.7,0,0,0.7
,low,1.4,0.9,9.3,0,0.1,0.1,0.2,0,0,0.6
Logan Woodside,TEN,0.9,0.6,9.2,0.1,0,0.1,0.2,0,0,0.6
,high,0.9,0.6,12,0.1,0,0.1,0.3,0,0,0.7
,low,0.9,0.6,6.4,0,0.1,0.1,0,0,0,0.6
Matt Barkley,BUF,1.1,0.7,9.5,0.1,0,0.2,0.1,0,0,0.6
,high,1.1,0.7,11,0.1,0,0.2,0.2,0,0,0.7
,low,1.1,0.7,8,0,0.1,0.2,0,0,0,0.5
Jeff Driskel,DEN,0,0,0,0,0,1.1,5,0,0,0.5
,high,0,0,0,0,0,1.1,5,0,0,0.6
,low,0,0,0,0,0,1.1,5,0,0,0.6
Jacoby Brissett,IND,0.7,0.5,10.1,0,0,0.1,0.3,0,0,0.5
,high,0.7,0.5,15.4,0,0,0.1,0.6,0,0,0.8
,low,0.7,0.5,4.7,0,0.1,0.1,0,0,0,0.3
Phillip Walker,CAR,1.4,0.8,9.6,0,0,0.1,0.5,0,0,0.5
,high,1.4,0.8,12,0,0,0.1,0.6,0,0,0.7
,low,1.4,0.8,7.3,0,0.1,0.1,0.3,0,0,0.3
Sean Mannion,MIN,1.1,0.7,9.1,0,0,0.3,0.1,0,0,0.4
,high,1.1,0.7,9.2,0,0,0.3,0.2,0,0,0.5
,low,1.1,0.7,9,0,0.1,0.3,0,0,0,0.4
Tim Boyle,GB,0.7,0.5,6.6,0,0,0.2,0.1,0,0,0.3
,high,0.7,0.5,8.1,0,0,0.2,0.2,0,0,0.5
,low,0.7,0.5,5,0,0,0.2,0,0,0,0.2
Robert Griffin III,BAL,0.6,0.4,3.9,0,0,0.3,1.3,0,0,0.3
,high,1.1,0.7,7.8,0,0,0.3,1.6,0,0,0.5
,low,0,0,0,0,0,0.2,1,0,0,0.1
Jacob Eason,IND,0.6,0.4,4.3,0,0,0,0.1,0,0,0.2
,high,0.6,0.4,4.3,0,0,0,0.1,0,0,0.2
,low,0.6,0.4,4.3,0,0,0,0.1,0,0,0.2
Jake Fromm,BUF,0.3,0.2,2,0,0,0,0.1,0,0,0.1
,high,0.3,0.2,2,0,0,0,0.1,0,0,0.1
,low,0.3,0.2,2,0,0,0,0.1,0,0,0.1
