Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
,low,0.1,1,0,0,0,0,0,0.9
Riley Ridley,CHI,0.6,7.2,0,0,0,0,0,1.6
,high,0.8,9,0.1,0,0,0,0,1.8
,low,0.4,5.4,0,0,0,0,0,1.3
Dezmon Patmon,IND,0.5,6.4,0,0,0.2,0,0,1.3
,high,1.1,12.7,0.1,0,0.3,0,0,2.1
,low,0.1,1,0,0,0,0,0,1.3
Pharoh Cooper,CAR,0.6,5.9,0,0,0.2,0,0,1.2
,high,1.7,15,0,0.1,0.4,0,0,1
,low,0,1,0,0,0,0,0,0.8
Brandon Zylstra,CAR,0.5,5.7,0,0,0.1,0,0,1.1
,high,0.7,8.3,0,0,0.2,0,0,1.5
,low,0.3,3.5,0,0,0,0,0,0.9
Robert Foster,WAS,0.4,5.6,0,0,0.4,0,0,1.1
,high,0.6,9.2,0,0,0.8,0,0,1.6
,low,0.1,1.9,0,0,0.1,0,0,1.6
Tyrie Cleveland,DEN,0.4,4.8,0,0,0.1,0,0,0.9
,high,0.5,6,0,0,0.2,0,0,1.2
,low,0.3,3.9,0,0,0,0,0,1
Dwayne Harris,CHI,0.4,5,0,0,0.1,0,0,0.9
,high,0.4,5,0,0,0.1,0,0,0
,low,0.4,5,0,0,0.1,0,0,0
James Proche,BAL,0.3,4.6,0,0,0.1,0,0,0.8
,high,0.8,10.8,0,0,0.2,0,0,0.6
,low,0.1,1,0,0,0,0,0,0.5
Keelan Doss,LV,0.4,4,0,0,0,0,0,0.8
,high,0.4,4,0,0,0,0,0,0.9
,low,0.4,4,0,0,0,0,0,0.9
Andre Roberts,BUF,0.2,2.9,0,0.2,0.8,0,0,0.6
,high,0.4,4,0,0.3,1.2,0,0,1.1
,low,0.1,1.1,0,0,0,0,0,0.9
DeAndre Carter,HOU,0.2,2.7,0,0,0.2,0,0,0.5
,high,0.4,6,0,0,0.6,0,0,1
,low,0,0,0,0,0,0,0,0.2
Penny Hart,SEA,0.2,2.7,0,0,0.1,0,0,0.5
,high,0.2,3.5,0,0,0.2,0,0,0.6
,low,0.2,2,0,0,0,0,0,0.4
K.J. Osborn,MIN,0.1,2.8,0,0,0.1,0,0,0.5
,high,0.3,5.5,0,0,0.3,0,0,0.8
,low,0,0,0,0,0,0,0,0.2
Matthew Slater,NE,0.1,2.9,0,0,0.3,0,0,0.4
,high,0.1,2.9,0,0,0.3,0,0,0.5
,low,0.1,2.9,0,0,0.3,0,0,0.5
Trent Sherfield,ARI,0.1,2.3,0,0,0.1,0,0,0.4
,high,0.1,3.6,0,0,0.1,0,0,0.6
,low,0.1,1,0,0,0,0,0,0.3
Malik Turner,DAL,0.1,2,0,0,0,0,0,0.3
,high,0.1,2,0,0,0,0,0,0.3
,low,0.1,2,0,0,0,0,0,0.3
KeeSean Johnson,ARI,0.1,1,0,0,0,0,0,0.2
,high,0.1,1,0,0,0,0,0,0.2
,low,0.1,1,0,0,0,0,0,0.2
Diontae Spencer,DEN,0.1,1,0,0,0,0,0,0.2
,high,0.1,1,0,0,0,0,0,0.2
,low,0.1,1,0,0,0,0,0,0.2
Dante Pettis,SF,0,1,0,0,0,0,0,0.1
,high,0,1,0,0,0,0,0,0.1
,low,0,1,0,0,0,0,0,0.1
Johnny Holton,NYG,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0.1
,low,0,0,0,0,0,0,0,0.1
Dan Chisena,MIN,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0.1
,low,0,0,0,0,0,0,0,0.1
