Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
John Brown,BUF,3.8,52.9,0.4,0.1,0.2,0,0,11.6
,high,6,71,1,0.1,0.6,0,0,16.9
,low,2.9,41,0.2,0,0,0,0,9.3
Calvin Ridley,ATL,3.8,55,0.3,0.3,1.3,0,0,11.4
,high,6.4,93,0.8,0.5,2,0,0,17.8
,low,2.4,32.4,0,0.1,0.6,0,0.1,9.7
D.J. Chark Jr.,JAC,4.2,53.8,0.3,0,0.3,0,0,11.4
,high,5,63.9,0.4,0.1,0.8,0,0,11.7
,low,3.5,47,0,0,0,0,0,10.5
Cole Beasley,BUF,4.5,52.4,0.3,0,0,0,0,11.3
,high,5.5,61.3,0.4,0,0.1,0,0,12.9
,low,3.8,43,0,0,0,0,0,8.8
Chris Godwin,TB,4.1,53.6,0.3,0,0.1,0,0,11.2
,high,5.3,74.2,0.6,0,0.2,0,0,14.4
,low,2,25,0,0,0,0,0,6.6
Jakobi Meyers,NE,4,52.7,0.3,0.1,0.6,0,0,11.2
,high,5,65.5,1,0.2,1.1,0,0,16.4
,low,3,41.3,0,0.1,0.3,0,0,9.2
Tim Patrick,DEN,3.8,52.7,0.3,0.1,0.3,0,0,11.1
,high,5,59,1,0.2,0.9,0,0,15.2
,low,3.2,45.1,0,0,0,0,0.1,9.6
Laviska Shenault Jr.,JAC,4,48.2,0.2,1.5,7.5,0,0.1,10.8
,high,5.2,62,0.4,2.6,11.4,0.1,0,12.2
,low,3.4,39.3,0,0.3,1.7,0,0.1,10
CeeDee Lamb,DAL,4.2,54.2,0.2,0.6,2.9,0,0.1,10.8
,high,5.2,65,0.3,1,4.4,0,0,12
,low,3.5,45.6,0,0.3,1.7,0,0.1,8.9
Henry Ruggs III,LV,3.4,49.4,0.4,0.4,2.2,0,0,10.8
,high,5,65,1,0.7,3.9,0.1,0,16.7
,low,2.6,37.9,0.1,0.2,0.9,0,0.1,9.3
Danny Amendola,DET,4.3,54.7,0.1,0,0.1,0,0,10.6
,high,6,63,0.3,0,0.2,0,0,11.7
,low,3.2,42.3,0,0,0,0,0.1,9.1
Jamison Crowder,NYJ,4.3,49.5,0.2,0.1,0.4,0,0.1,10.4
,high,5.6,67.2,0.4,0.1,0.8,0,0,12.9
,low,2,25,0,0,0,0,0.1,6.8
Darnell Mooney,CHI,3.8,49.3,0.2,0.2,0.7,0,0,10.1
,high,4.6,58.7,0.4,0.3,1.4,0,0,11.1
,low,3,42,0,0.1,-0.1,0,0.1,8.5
Zach Pascal,IND,3.8,48.1,0.2,0.1,0.5,0,0,9.9
,high,5,55,0.3,0.2,1.3,0,0,11.2
,low,2.8,33.5,0,0,0,0,0,9
Russell Gage,ATL,4.4,45.3,0.1,0.2,0.5,0,0,9.7
,high,6.2,61.8,0.2,0.3,1,0,0,10.6
,low,3,36.8,0,0,0,0,0.1,8.2
Hunter Renfrow,LV,3.7,45.5,0.2,0,0,0,0,9.6
,high,4.3,53.6,0.4,0,0.1,0,0,10.5
,low,3,38.9,0,0,0,0,0,7.8
Anthony Miller,CHI,3.9,43.7,0.2,0.2,1,0,0,9.4
,high,5,52,0.3,0.3,1.8,0,0,10.1
,low,3.2,35.8,0,0.2,0.6,0,0,8.8
Antonio Brown,TB,3.4,41.7,0.3,0.1,0.4,0,0,9.4
,high,5,67.5,0.5,0.1,0.6,0,0,10.8
,low,1.4,19,0,0.1,0.2,0,0,6.4
Curtis Samuel,CAR,3.4,36,0.2,1.4,9.9,0.1,0,9.3
,high,4.7,51.8,0.3,2,13.8,0.1,0,10.6
,low,2,21,0,0.7,4,0,0.1,6.1
Mecole Hardman,KC,2.7,43,0.3,0.3,1.5,0,0,9.2
,high,3.4,52.8,0.6,0.3,2.3,0,0,10.4
,low,2,36.8,0,0.2,0.9,0,0.1,7.8
Preston Williams,MIA,3.2,46.1,0.2,0,0,0,0,9.1
,high,3.8,56.8,0.4,0,0,0,0,11
,low,2.6,39.1,0,0,0,0,0.1,7.5
Keelan Cole Sr.,JAC,3.2,46.2,0.2,0.1,0.5,0,0,9.1
,high,3.9,59.6,0.3,0.1,1,0,0,9.8
,low,2.5,34,0.1,0,0,0,0.1,7.5
Randall Cobb,HOU,3.5,43.6,0.2,0.1,0.4,0,0,9.1
,high,5,58.5,0.3,0.3,0.9,0,0,10.3
,low,2.3,26,0,0,0,0,0,7.4
T.Y. Hilton,IND,3.1,47.6,0.2,0,0,0,0,8.8
,high,4.7,71,0.3,0,0,0,0,12.3
,low,1.6,24.1,0,0,0,0,0,12.3
Denzel Mims,NYJ,3.6,44.4,0.1,0.1,0.9,0,0,8.7
,high,5,57.2,0.2,0.2,1.7,0,0,9
,low,2.7,36.2,0,0,0,0,0.1,8.1
