Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
J.D. McKissic,WAS,4.4,18,0.1,3.6,27.5,0.1,0.1,8.9
,high,6,24.7,0.2,5,35,0.2,0,10.3
,low,2.6,9,0,2.6,17.8,0,0.3,7.2
Nyheim Hines,IND,4.3,16.2,0.1,3.5,27.8,0.1,0.1,8.8
,high,5.8,21.1,0.1,4,30.8,0.2,0,10
,low,3,12.6,0,2.6,25,0,0.1,7.6
Joshua Kelley,LAC,10.4,39.3,0.2,1.8,14.6,0.1,0.1,8.6
,high,12.6,48.4,0.4,2.8,29,0.2,0.1,11.3
,low,9,32.6,0,0.2,2.5,0,0.2,5.8
Phillip Lindsay,DEN,10.5,47.3,0.2,1.6,9.9,0,0,8.5
,high,11.8,56.9,0.3,2.6,14.6,0,0,10.5
,low,9.6,36.1,0,0.8,5.5,0,0.1,7
Tyler Ervin,GB,6,25.7,0.1,2.7,17.8,0.1,0,7.8
,high,10.5,44.8,0.2,4,25,0.2,0,10.9
,low,0.7,5,0,1.9,11.2,0,0.1,4.6
Lamical Perine,NYJ,9.6,37.4,0.2,1.7,12.2,0,0,7.6
,high,12.3,47,0.3,2.9,16.8,0.1,0,9
,low,6.1,19,0,0.8,5.2,0,0.1,6.1
Jordan Howard,MIA,10.8,41,0.3,1.1,5.7,0,0,7.5
,high,14.7,54.8,0.5,2.2,9.8,0,0,10.6
,low,1.9,7,0,0.2,1,0,0.1,2.4
Gus Edwards,BAL,11.3,47.9,0.3,0.5,3.1,0,0,7.4
,high,15,66,1,1.2,6,0,0,12.5
,low,6,26.6,0.1,0,0,0,0.1,4.5
Frank Gore,NYJ,10.9,43.8,0.2,1.2,7.9,0,0.1,7.3
,high,12.6,62.6,0.4,2.6,17,0.1,0,10.3
,low,7,27,0,0.6,4,0,0.1,4.3
Latavius Murray,NO,8.9,32.8,0.2,1.7,11.6,0,0,7.3
,high,12.4,45.2,0.4,2.3,17,0.1,0,8.4
,low,6,28,0,1.2,8.4,0,0.1,5.7
Mark Ingram II,BAL,7.5,37,0.2,1.1,8,0.1,0.1,7.2
,high,7.5,37,0.2,1.1,8,0.1,0.1,6.9
,low,7.5,37,0.2,1.1,8,0.1,0.1,6.9
Mike Davis,CAR,6.5,22.8,0.1,2.6,15.8,0.1,0.1,7.2
,high,9.8,34,0.2,6.8,42,0.2,0,12.5
,low,2.6,7.9,0,1.2,7.9,0,0.1,5
Adrian Peterson,DET,10.9,40,0.2,1.1,7.7,0,0.1,7
,high,15.5,51.9,0.3,2.1,15,0.1,0,8.3
,low,7.4,28.4,0,0.3,3,0,0.1,4.9
Duke Johnson Jr.,HOU,3.6,16.1,0.1,2.3,20.2,0.1,0,6.8
,high,5.8,26.2,0.1,3.1,25.8,0.2,0,7.8
,low,2,9,0,1.7,15.6,0,0.1,5
Brian Hill,ATL,6.3,28.8,0.1,1.8,13.1,0,0.1,6.7
,high,7.6,40.5,0.2,2.4,18.8,0.1,0,7.7
,low,4.8,20,0,1.1,6.9,0,0.1,5.4
Rex Burkhead,NE,6,22.9,0.1,1.7,16.5,0.1,0.1,6.7
,high,8.2,31,0.3,2.5,22.3,0.1,0,8.1
,low,4,17,0,1,12,0,0.1,4.8
Tony Pollard,DAL,6.8,27.4,0.1,1.5,11,0,0,6
,high,9.2,39.5,0.2,2.4,14.3,0.1,0,8.3
,low,1.8,8,0,1,7,0,0.1,3.3
Alexander Mattison,MIN,6.5,29.5,0.1,1.3,8,0,0,5.9
,high,8.3,37.6,0.2,2.3,10.5,0.1,0,7.5
,low,4,18,0,1,6,0,0.1,3.7
Reggie Bonnafon,CAR,3.8,24,0.2,0.8,9,0.1,0,5.9
,high,3.8,24,0.2,0.8,9,0.1,0,5.6
,low,3.8,24,0.2,0.8,9,0.1,0,5.6
Cordarrelle Patterson,CHI,3,14.2,0.1,1.8,15.8,0.1,0,5.7
,high,3,14.2,0.1,1.8,15.8,0.1,0,5.7
,low,3,14.2,0.1,1.8,15.8,0.1,0,5.7
Patrick Laird,MIA,5,17.1,0.1,1.9,13.2,0,0,5.5
,high,9.3,29.5,0.2,3.2,24.8,0.1,0,7.7
,low,0,0,0,0.2,2,0,0.1,2.1
Chris Thompson,JAC,2.3,9.2,0,2.2,17.7,0.1,0,5.4
,high,3.2,11.3,0.1,3,21.1,0.1,0,6.1
,low,1.1,5,0,1.9,15,0,0.1,5
Eno Benjamin,ARI,4.9,20.2,0.1,1.3,9.6,0,0.1,5.2
,high,7.7,27.4,0.2,2.5,20.2,0.1,0,7.5
,low,2.1,9,0,0.5,4.2,0,0.1,3.1
Jordan Wilkins,IND,7.1,33.3,0.1,0.7,4.6,0,0,5.2
,high,9.8,46.2,0.2,1.4,7.5,0,0,6.6
,low,5.7,23,0,0.3,3.1,0,0.1,4.5
Jalen Richard,LV,2.5,11.3,0.1,1.9,14,0,0,4.9
,high,3.5,19.7,0.2,3,16.2,0.1,0,6.1
,low,0.9,4,0,1.4,10.7,0,0.1,4.2
Travis Homer,SEA,4.3,17.7,0.1,1.5,7.5,0.1,0,4.7
,high,5.2,23.4,0.2,3.4,13.1,0.2,0,6.3
,low,3.3,11.4,0,0.6,2.3,0,0.1,3.5
Kyle Juszczyk,SF,1,4.1,0.1,1.8,18.5,0.1,0,4.7
,high,2,7.5,0.2,2.7,20.6,0.1,0,5.8
,low,0.2,1,0,1.4,16.1,0,0.1,4.2
Dexter Williams,GB,6.4,23.2,0.1,0.9,6.4,0,0,4.4
,high,12,47,0.2,2.4,12.3,0.1,0,6.4
,low,2.5,7.2,0,0.3,2.4,0,0.1,2.2
Dion Lewis,NYG,2.5,9.3,0,1.8,12.4,0.1,0,4.3
,high,6.2,22.4,0,2.7,19,0.1,0,5
,low,1.1,3.8,0,1,8.5,0,0.1,3.6
Sony Michel,NE,6.5,23.5,0.2,0.6,2.5,0,0,4.1
,high,9.4,39.3,0.3,0.6,4.4,0,0,6.8
,low,3.6,7.7,0,0.6,0.6,0,0,6.8
Troymaine Pope,LAC,6.1,18.7,0,1.7,5.8,0,0,4.1
,high,6.1,18.7,0,1.7,5.8,0,0,0
,low,6.1,18.7,0,1.7,5.8,0,0,0
