Player,Team,REC,YDS,TDS,FL,FPTS
,high,2.7,26.4,0.2,0,4.2
,low,0.7,7,0,0,2.6
Marcedes Lewis,GB,1.4,14,0.1,0,3.4
,high,1.5,14.9,0.2,0,4.1
,low,1.2,13.1,0,0,4.1
Cameron Brate,TB,1.3,13.4,0.1,0,3.3
,high,1.9,20.1,0.2,0,4
,low,0.9,7.6,0,0,2.7
Adam Shaheen,MIA,1.2,12,0.1,0,3.1
,high,1.6,15.6,0.4,0,5.2
,low,0.9,9.9,0,0.1,2.4
Jesse James,DET,1.3,14.4,0.1,0,3.1
,high,1.9,23.4,0.1,0,4.2
,low,0.6,7.7,0,0,2.5
Cole Kmet,CHI,1.2,13,0.1,0,3
,high,1.8,19,0.2,0,4.3
,low,0.7,7,0,0,2.1
Vance McDonald,PIT,1.3,13.1,0.1,0,3
,high,1.9,19.6,0.1,0,3.7
,low,0.7,7.1,0,0,2.4
Jason Witten,LV,1.3,11.3,0.1,0,2.9
,high,2.2,19.2,0.1,0,3.4
,low,0.8,6,0,0,2.5
Durham Smythe,MIA,1.2,11.8,0.1,0,2.8
,high,2,18.4,0.1,0,3.2
,low,0.6,5.7,0,0,2.3
MyCole Pruitt,TEN,1.1,10.4,0.1,0,2.7
,high,1.2,12.6,0.2,0,3.1
,low,0.9,8,0,0,2.4
Jacob Hollister,SEA,1.2,10.2,0.1,0,2.6
,high,2.2,18.8,0.2,0,3.2
,low,0.7,6,0,0,1.8
Maxx Williams,ARI,0.9,10.4,0.1,0,2.5
,high,0.9,10.4,0.1,0,2.5
,low,0.9,10.4,0.1,0,2.5
Gabe Nabers,LAC,1.2,13.4,0,0,2.5
,high,1.2,13.4,0,0,0
,low,1.2,13.4,0,0,0
Donald Parham Jr.,LAC,1,10.9,0.1,0,2.4
,high,2,17.5,0.1,0,2.9
,low,0.3,3,0,0,1.5
Demetrius Harris,CHI,1,9.7,0.1,0,2.3
,high,1.4,14.1,0.1,0,2.7
,low,0.9,6.9,0,0,2.1
Ryan Griffin,NYJ,1.1,10.3,0,0,2.3
,high,1.9,18.5,0.1,0,2.7
,low,0.5,4,0,0,1.5
Nick Keizer,KC,0.9,10,0.1,0,2.2
,high,1.4,15.5,0.1,0,2.2
,low,0.6,7,0,0,1.9
Ricky Seals-Jones,KC,0.7,9.3,0.1,0,2.2
,high,0.7,9.3,0.1,0,2.2
,low,0.7,9.3,0.1,0,2.2
Darrell Daniels,ARI,0.9,10.4,0,0,2.2
,high,1.7,18.3,0.1,0,2.6
,low,0.4,4,0,0,1.4
Blake Bell,DAL,1,11.2,0,0,2.2
,high,1.2,13.3,0,0,2.3
,low,0.8,9.2,0,0,2
Kahale Warring,HOU,0.7,8.5,0.1,0,2.2
,high,0.7,8.5,0.1,0,2.2
,low,0.7,8.5,0.1,0,2.2
Chris Manhertz,CAR,1,11.1,0,0,2.1
,high,1.4,16.6,0,0,2.3
,low,0.7,6.6,0,0,1.7
Zach Gentry,PIT,0.8,6.7,0.1,0,2.1
,high,0.8,6.7,0.1,0,2.1
,low,0.8,6.7,0.1,0,2.1
Hunter Bryant,DET,0.7,7.5,0.1,0,2.1
,high,0.7,7.5,0.1,0,2.1
,low,0.7,7.5,0.1,0,2.1
Colby Parkinson,SEA,0.7,7.3,0.1,0,2
,high,0.7,7.3,0.1,0,2
,low,0.7,7.3,0.1,0,2
Isaac Nauta,DET,1,10.6,0,0,2
,high,1,10.6,0,0,0
,low,1,10.6,0,0,0
Ben Ellefson,JAC,1,10.6,0,0,2
,high,1,10.6,0,0,0
,low,1,10.6,0,0,0
Luke Stocker,ATL,1,8.3,0,0,2
,high,1.6,12.8,0.1,0,2.2
,low,0.6,6,0,0,1.8
Antony Auclair,TB,0.7,6.6,0.1,0,2
,high,0.7,6.6,0.1,0,2
,low,0.7,6.6,0.1,0,2
Farrod Green,IND,0.7,6.5,0.1,0,2
,high,0.7,6.5,0.1,0,2
,low,0.7,6.5,0.1,0,2
Noah Togiai,IND,0.7,6.5,0.1,0,2
,high,0.7,6.5,0.1,0,2
,low,0.7,6.5,0.1,0,2
Daniel Helm,SF,0.6,7.2,0.1,0,1.9
,high,0.6,7.2,0.1,0,1.9
,low,0.6,7.2,0.1,0,1.9
Stephen Anderson,LAC,0.7,8.5,0,0,1.8
,high,1.3,14.1,0.1,0,2.6
,low,0.2,3,0,0,1.1
Temarrick Hemingway,WAS,0.9,9.5,0,0,1.8
,high,1.2,12.7,0,0,1.5
,low,0.6,6.4,0,0,1.5
Lee Smith,BUF,0.8,6.3,0.1,0,1.8
,high,1.7,12.1,0.2,0,2.6
,low,0.1,1,0,0,0.9
Taysom Hill,NO,0.7,7.5,0.1,0,1.8
,high,0.8,8.5,0.1,0,3.4
,low,0.6,6.5,0.1,0,3
Charlie Woerner,SF,0.7,7.6,0,0,1.6
,high,1.3,14.7,0.1,0,2
,low,0.1,1,0,0,0.8
Jeremy Sprinkle,WAS,0.7,6.5,0,0,1.6
,high,1.4,12.7,0.1,0,1.9
,low,0.1,1,0,0,0.9
John Lovett,GB,0.7,8,0,0,1.5
,high,0.7,8,0,0,1.8
,low,0.7,8,0,0,1.8
Jordan Thomas,ARI,0.5,4.5,0.1,0,1.5
,high,0.8,7.9,0.2,0,2.4
,low,0.1,1,0,0,0.6
Tanner Hudson,TB,0.7,7.8,0,0,1.5
,high,1.2,13.7,0,0,1.1
,low,0.2,2,0,0,1.1
Pharaoh Brown,HOU,0.6,6.7,0,0,1.5
,high,1.1,12.3,0.1,0,2
,low,0,0,0,0,0.6
Eric Saubert,JAC,0.7,7.2,0,0,1.4
,high,0.7,7.2,0,0,1.4
,low,0.7,7.2,0,0,1.4
Jaeden Graham,ATL,0.5,6.6,0,0,1.4
,high,0.8,10.4,0.1,0,2.2
,low,0.2,3,0,0,0.9
Tyler Conklin,MIN,0.7,7.3,0,0,1.4
,high,1.2,12.8,0,0,1.4
,low,0.2,2,0,0,0.9
Trevon Wesco,NYJ,0.7,6.9,0,0,1.4
,high,1.2,12.8,0,0,1.2
,low,0.4,4,0,0,1.1
Levine Toilolo,NYG,0.6,7,0,0,1.3
,high,0.7,9.1,0,0,1.3
,low,0.3,4,0,0,0.9
Geoff Swaim,TEN,0.6,4.9,0,0,1.1
,high,0.6,4.9,0,0,1.1
,low,0.6,4.9,0,0,1.1
Eric Tomlinson,NYG,0.6,4.7,0,0,1.1
,high,0.6,4.7,0,0,1.1
,low,0.6,4.7,0,0,1.1
Deon Yelder,KC,0.5,5.3,0,0,1
,high,1,11.2,0,0,0.8
,low,0.2,2,0,0,0.8
Derek Carrier,LV,0.4,3.4,0,0,0.9
,high,0.7,6.2,0.1,0,1.6
,low,0.2,2,0,0,0.7
Jakob Johnson,NE,0.2,0.8,0.1,0,0.9
,high,0.2,0.8,0.1,0,0.9
,low,0.2,0.8,0.1,0,0.9
Colin Thompson,CAR,0.4,3.8,0,0,0.7
,high,0.4,4.7,0,0,0.8
,low,0.3,3,0,0,0.8
J.P. Holtz,CHI,0.3,3.7,0,0,0.7
,high,0.5,5,0,0,0.8
,low,0.1,2,0,0,0.5
Luke Willson,SEA,0.3,2.9,0,0,0.6
,high,0.5,4.7,0,0,0.4
,low,0.1,1,0,0,0.4
Patrick Scales,CHI,0.2,2,0,0,0.4
,high,0.2,2,0,0,0.4
,low,0.2,2,0,0,0.4
Marcus Baugh,WAS,0.1,2,0,0,0.3
,high,0.1,2,0,0,0.3
,low,0.1,2,0,0,0.3
Sean McKeon,DAL,0.1,1.5,0,0,0.3
,high,0.2,2,0,0,0.3
,low,0.1,1,0,0,0.3
Reggie Gilliam,BUF,0.1,1,0,0,0.2
,high,0.1,1,0,0,0.3
,low,0.1,1,0,0,0.3
Daniel Brown,NYJ,0,0,0,0,0
,high,0,0,0,0,0
,low,0,0,0,0,0
Garrett Griffin,NO,0,0,0,0,0
,high,0,0,0,0,0
,low,0,0,0,0,0
